wavenumber         DET0         DET1
      14.0     0.034061     0.047215
      14.1     0.032692     0.047466
      14.2     0.031370     0.047692
      14.3     0.030104     0.047892
      14.4     0.028901     0.048063
      14.5     0.027772     0.048203
      14.6     0.026723     0.048313
      14.7     0.025761     0.048391
      14.8     0.024897     0.048435
      14.9     0.024133     0.048447
      15.0     0.023481     0.048425
      15.1     0.022941     0.048370
      15.2     0.022521     0.048282
      15.3     0.022225     0.048161
      15.4     0.022055     0.048008
      15.5     0.022017     0.047823
      15.6     0.022109     0.047608
      15.7     0.022332     0.047363
      15.8     0.022689     0.047088
      15.9     0.023176     0.046786
      16.0     0.023795     0.046458
      16.1     0.024539     0.046104
      16.2     0.025407     0.045727
      16.3     0.026397     0.045329
      16.4     0.027500     0.044912
      16.5     0.028715     0.044477
      16.6     0.030034     0.044029
      16.7     0.031451     0.043570
      16.8     0.032962     0.043101
      16.9     0.034557     0.042627
      17.0     0.036232     0.042150
      17.1     0.037978     0.041674
      17.2     0.039788     0.041204
      17.3     0.041655     0.040743
      17.4     0.043571     0.040297
      17.5     0.045528     0.039871
      17.6     0.047518     0.039469
      17.7     0.049533     0.039096
      17.8     0.051566     0.038756
      17.9     0.053608     0.038452
